"Building_ID","Address","Building_Type","Build_Year","Zip","State","City","Community_Name","Community_Number","Latitude","Longitude","Location"
"101717","55 E Monroe St","Commercial","2010-03-01","60603","IL","Chicago","LOOP","32","41.88017573","-87.62564433","(41.88017573, -87.62564433)"
"101717","55 E Monroe St","Commercial","2010-03-01","60603","IL","Chicago","DOUGLAS","35","41.84550365","-87.63055693","(41.84550365, -87.63055693)"
"101717","55 E Monroe St","Commercial","2010-03-01","60603","IL","Chicago","ARMOUR SQUARE","34","41.85095833","-87.63518087","(41.85095833, -87.63518087)"
"101717","55 E Monroe St","Commercial","2010-03-01","60603","IL","Chicago","LINCOLN PARK","7","41.92394692","-87.65759559","(41.92394692, -87.65759559)"
"101717","55 E Monroe St_*","Commercial","2008-03-01","60603","IL","Chicago","LOOP","32","41.88017573","-87.62564433","(41.88017573, -87.62564433)"
"172786","619 645 E WOODLAND PARK","Residential","2008-03-01","60616","IL","Chicago","DOUGLAS","35","41.84550365","-87.63055693","(41.84550365, -87.63055693)"
"172786","619 645 E WOODLAND PARK","Residential","2008-03-01","60616","IL","Chicago","LINCOLN PARK","7","41.92394692","-87.65759559","(41.92394692, -87.65759559)"
"172786","619 645 E WOODLAND PARK","Residential","2008-03-01","60616","IL","Chicago_*","UPTOWN","3","41.95817169","-87.64856912","(41.95817169, -87.64856912)"
"172786","619 645 E WOODLAND PARK","Residential","2008-03-01","60616","IL","Chicago","WEST GARFIELD PARK","26","41.878708","-87.73579","(41.878708, -87.73579)"
"172786","619 645 E WOODLAND PARK_*","Residential","2008-03-01","60616","IL","Chicago","DOUGLAS","35","41.84550365","-87.63055693","(41.84550365, -87.63055693)"
"252251","300 W 23rd St","Residential","2008-04-01","60616","IL","Chicago","ARMOUR SQUARE","34","41.85095833","-87.63518087","(41.85095833, -87.63518087)"
"252251","300 W 23rd St","Residential","2008-04-01","60616","ILLINOIS","Aurora","DOUGLAS","35","41.82021138","-87.61246867","(41.82021138, -87.61246867)"
"252251","300 W 23rd St","Residential","2008-04-01","60616","ILLINOIS","Aurora_*","HYDE PARK","41","41.78781347","-87.59827692","(41.78781347, -87.59827692)"
"252251","300 W 23rd St","Residential","2008-04-01","60616","ILLINOIS","Aurora","LINCOLN PARK","7","41.92201051","-87.65461957","(41.92201051, -87.65461957)"
"252251","300 W 23rd St_*","Residential","2008-04-01","60616","ILLINOIS","Aurora","ARMOUR SQUARE","34","41.85095833","-87.63518087","(41.85095833, -87.63518087)"
"251331","2312 N Clifton Ave","Commercial","2008-04-01","60614","ILLINOIS","Aurora","LINCOLN PARK","7","41.92394692","-87.65759559","(41.92394692, -87.65759559)"
