Building_ID,Address,Building_Type,Build_Year,Zip,State,City,Community_Name,Community_Number,Latitude,Longitude,Location
100068,555 W Roosevelt Rd,Commercial,2017-03-01,60607.0,IL,Goodland,NEAR WEST SIDE,32.0,41.866867,-87.64145,"(41.866867, -87.64144957)"
100256,4975 S Archer Ave,Municipal,1996-03-01,60632.0,KY,Cambridge,ARCHER HEIGHTS,57.0,41.75392,-87.601974,"(41.802759, -87.722671)"
100320,4039 4051 N LAPORTE AVE,Residential,1936-03-01,60641.0,OK,Russell,PORTAGE PARK,15.0,41.94615,-87.74708,"(41.94615136, -87.74707694)"
100346,2609 W BELMONT AVE,Residential,1954-03-01,60618.0,IL,Leesburg,AVONDALE,21.0,41.94672,-87.70319,"(41.94672055, -87.70319673)"
100372,2701 W 68th St,Commercial,1957-03-01,60629.0,IL,Rockbridge,CHICAGO LAWN,66.0,41.770004,-87.69084,"(41.770003, -87.690841)"
100393,7601 S Cicero Ave,Commercial,1907-03-01,60652.0,IL,Mingo,WEST LAWN,65.0,41.920395,-87.756165,"(41.75582921, -87.73699268)"
100396,7740 S Western Ave,Commercial,1957-03-01,60620.0,IL,Rockbridge,ASHBURN,70.0,41.75293,-87.68297,"(41.75293115, -87.68297148)"
100397,3939 W 79th St,Municipal,1966-03-01,60652.0,IL,Northchase,DOUGLAS,35.0,41.74946,-87.720146,"(41.749459, -87.720146)"
100429,875 N Michigan Ave,Commercial,1957-03-01,60611.0,VA,Rockbridge,NEAR NORTH SIDE,8.0,41.898804,-87.62298,"(41.89880204, -87.62297591)"
100433,2233 W Division St,Commercial,2017-03-01,60622.0,IL,Goodland,WEST TOWN,5.0,41.902515,-87.68336,"(41.90251573, -87.68336086)"
100447,211 E Chicago Ave,Commercial,1936-03-01,60611.0,VA,Russell,NEAR NORTH SIDE,8.0,41.89645,-87.62257,"(41.89644968, -87.62256575)"
