Data_Year,ID,Property_Name,Address,Energy_Rating,Property_Type,Floor_Area,Water_Use (kGal),Electricity_Use(kBtu),Natural_Gas_Use(kBtu),Total_GHG_Emissions(Metric Tons CO2e),GHG_Intensity(kg CO2e/sq ft),Latitude,Longitude,Location,Wards,Community_Area
2020,159898,Hyde Park Tower,5140 S Hyde Park Blvd,1.0,Multifamily Housing,143925,1307.6,4886566.9,21278243.9,1892.8,13.2,41.80133,-87.58475,"(41.80133, -87.58475)",33,8
2020,159897,Shoreland Apartments,5454 S Shore Dr,4.0,Multifamily Housing,638697,6183.8,10016192.7,12563599.5,2230.5,3.5,41.796234,-87.581505,"(41.796234, -87.581505)",33,8
2020,159896,Regents Park,5020 - 5050 S Lake Shore Dr,2.0,Multifamily Housing,1460101,6609.4,29420994.3,95443598.7,9661.2,6.6,41.80367,-87.58485,"(41.80367, -87.58485)",33,5
2020,159418,"Third Prairie Shores, LLC",3001 S King Dr,2.5,Multifamily Housing,289267,1456.0,4881229.8,26338718,2160.8,7.5,41.839203,-87.616615,"(41.839203, -87.616615)",10,1
2016,103849,Bicycle Station Lofts Condominium Association (1632-36 S. Indiana Ave.),1632 1636 S INDIANA AVE,24,Multifamily Housing,59040,2752.8,1265732.6,2137978.9,346.9,5.9,41.845505,-87.630554,"(41.845505, -87.630554)",48,35
2020,251772,"Jewel Osco, 03224-Irving Park & Narraganset",6430 W Irving Park Rd,2.5,Supermarket/Grocery Store,57498,6030.8,8472126,4587599.8,1565.9,27.2,41.922012,-87.65462,"(41.922012, -87.65462)",19,17
2020,253951,18th Street Lofts,1801 S Michigan Ave,4.0,Multifamily Housing,93675,1643.2,1342523,2116535.5,321.9,4.8,41.845505,-87.630554,"(41.845505, -87.630554)",48,35
2020,251773,"Jewel Osco, 03296-Foster & Harlem",7342 W Foster Ave,3.0,Supermarket/Grocery Store,77255,225.8,8539260.2,6724400,1689.9,21.9,41.910374,-87.630646,"(41.910374, -87.630646)",29,36
2017,173715,2738 N. Pine Grove,2738  N PINE GROVE AVE,60,Multifamily Housing,103203,6445.3,1808367,5642447,634.1,6.1,41.975525,-87.69722,"(41.975525, -87.69722)",34,68
2020,251774,Catholic Charities Saint Alibe - (Faith Apartments),1244 East 93rd Street,3.0,Multifamily Housing,192927,7395.7,2260052.7,8547151.8,806.7,4.5,41.725098,-87.65454,"(41.725098, -87.65454)",13,72
2016,253952,Catherine Courts Condominium Association of Chicago (8439-8503 W. Catherine Ave),8439-8503 W Catherine Ave,35,Multifamily Housing,149754,4997.6,2220130.4,8452906.2,858.2,5.7,41.947426,-87.642685,"(41.947426, -87.642685)",29,36
2020,251770,U.S. Cellular Plaza - 8420 _ Goby LLC,8420 W Bryn Mawr Ave,4.0,Office,212651,8018.4,991257.6,3420406.0,154.7,0.7,41.684685,-87.65547,"(41.684685, -87.65547)",29,75
2016,173712,1155 West Armitage Condominium Association,1153 1155 W ARMITAGE AVE,43,Multifamily Housing,94200,7422.5,1274760,2090760.1,346,3.7,41.802303,-87.6025,"(41.802303, -87.6025)",34,68
2020,251771,1333 N Kingsbury,1333 N Kingsbury,4.0,Office,126727,7066.2,3957005.9,4220184.3,841.7,8,41.906017,-87.64947,"(41.906017, -87.64947)",46,37
2020,253959,St. Paul Lofts Condominium Association,2333 W Saint Paul Ave,4.0,Multifamily Housing,105718,6090.2,1965390.5,3383953.5,486.5,4.6,41.913387,-87.68625,"(41.913387, -87.68625)",40,25
2020,253955,550 W. Fulton Condominium Association,550 W Fulton,4.0,Multifamily Housing,76037,1897.3,1231906,2232833.7,352.6,5.5,41.88321,-87.64337,"(41.88321, -87.64337)",36,29
2020,124308,Walmart Supercenter #5965,10900 S Doty Ave,1.0,Wholesale Club/Supercenter,155765,5269.7,12796546.3,6816824.9,2359.2,15.1,41.871033,-87.73349,"(41.871033, -87.73349)",43,47
2020,101682,8750 West Bryn Mawr Ave - Triangle Plaza,8750 W Bryn Mawr Ave,4.0,Office,1286867,458.7,32945463.8,89725.7,5146.5,6.7,41.87963,-87.640396,"(41.87963, -87.640396)",29,75
2020,241989,30 E Elm Condo Association,30 E ELM ST,1.0,Multifamily Housing,104980,8388.3,2904174.7,9768238.3,972.1,10.9,42.01036,-87.6683,"(42.01036, -87.6683)",11,37
2018,173708,2756-64 N. Pine Grove Ave.,2756 2760 N PINE GROVE AVE,1.5,Multifamily Housing,133560,6946,1910423.2,12550647.6,984.5,7.4,41.922012,-87.65462,"(41.922012, -87.65462)",34,68
2018,173702,Ambassador Hotel,1301  N STATE PKWY,1.0,Hotel,188600,82,12058905.4,14666945.6,2785.2,14.8,41.90375,-87.63559,"(41.90375, -87.63559)",46,37
2020,251783,Our Lady of Victory Parish,5212 W Agatite,0.0,Other,120233,9361.4,310642.4,5565634.0,1761.1,60.0,41.961826,-87.75825,"(41.961826, -87.75825)",19,15
2020,253962,Moser Building Condominium Association,621 S Plymouth Ct,4.0,Multifamily Housing,144649,7293.7,1686705.1,3747464.7,462.3,3.2,41.86842,-87.62414,"(41.86842, -87.62414)",10,38
2020,251784,Quigley Pastoral Center-Quigley,835 N Rush St,3.0,Office,84100,8570.6,3351142.2,4527090.1,763.5,9.1,41.897778,-87.62605,"(41.897778, -87.62605)",36,37
2020,251301,Lincoln Park Tower Condominium Association,1960 N Lincoln Park West,2.5,Multifamily Housing,413860,6292.8,7640222,26942598.3,2623.5,7.9,41.918056,-87.63701,"(41.918056, -87.63701)",34,68
2020,251785,Saint Alphonsus Parish,1439 W Wellington Ave,4.0,Other,187668,8559.3,1045512.9,6687332.9,518.4,2.8,41.935806,-87.66571,"(41.935806, -87.66571)",40,57
2020,251786,Saint Clement School,642 W Deming Pl,3.0,Other,115276,8661.9,2048285.6,5573273,615.7,5.3,41.88712,-87.656815,"(41.88712, -87.656815)",34,68
2020,253963,Montclare Senior Residences of Avalon Park,1210  E 78th St,4.0,Multifamily Housing,137038,8077.0,1842814.4,4169748.4,509.1,5,41.744015,-87.6055,"(41.744015, -87.6055)",35,40
2020,121264,Chicago Theological Seminary,1407 E 60th St,2.0,College/University,80489,7891.8,2262510.8,34620,880.8,10.9,41.786045,-87.59124,"(41.786045, -87.59124)",4,9
2020,251780,Holy Name Cathedral Parish,735 N State St,3.0,Other,193226,1298.6,5284944.1,12488086.3,1488.1,7.7,41.89583,-87.62813,"(41.89583, -87.62813)",36,37
2020,101674,Presidents Plaza 2,8700 W Bryn Mawr Ave,4.0,Office,953318,345.7,21218670.6,221460.1,3323.3,7.5,41.98172,-87.84446,"(41.98172, -87.84446)",29,75
