"Building_ID","Community_ID","Community_Name","Description","Zip","State","Country","Area","Population","EmploymentRate","CrimeRate","Amenities","PublicTransportAccess","QualityOfLifeIndex","HealthCareIndex","CostOfLivingIndex","PollutionIndex","ClimateIndex"
"260184","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","24.4 sq mi","29553","0.71","0.27","JGXxtnSYwraEMsOWdxmO","Average","78","71","70","86","38"
"260149","59.0","MCKINLEY PARK","Description here","60608.0","IL","USA","87.6 sq mi","10835","0.58","0.08","zTzmvYSrAhHChtVNSbXW","Average","81","74","76","80","57"
"260135","28.0","NEAR WEST SIDE","Description here","60616.0","IL","USA","75.5 sq mi","45240","0.69","0.35","rSNhMYpAOHzoXQKEFyfL","Good","89","54","62","23","5"
"260127","32.0","LOOP","Description here","60603.0","IL","USA","56.0 sq mi","33074","0.76","0.07","zZZfHBjszZkRJXytzbcw","Average","71","81","63","64","92"
"260091","41.0","HYDE PARK","Description here","60637.0","IL","USA","94.6 sq mi","28800","0.74","0.25","bULhdKGLviLfhoPpdeQQ","Poor","58","90","78","54","23"
"260086","41.0","HYDE PARK","Description here","60637.0","IL","USA","74.9 sq mi","6742","0.7","0.37","VMRqgkkqcIgbAOZrNIeo","Average","62","52","96","39","91"
"260083","43.0","SOUTH SHORE","Description here","60649.0","VA","USA","9.5 sq mi","46974","0.54","0.29","rmpZtptqmWemXObQRaXq","Good","64","96","72","83","1"
"260078","71.0","AUBURN GRESHAM","Description here","60620.0","IL","USA","10.7 sq mi","49259","0.55","0.18","lBPpwTXmGudoEheSbjpD","Poor","69","100","50","72","67"
"260077","3.0","UPTOWN","Description here","60640.0","IL","USA","45.8 sq mi","22241","0.64","0.21","cybFRKLapNEelgYzhqdN","Poor","98","99","88","80","47"
"260074","43.0","SOUTH SHORE","Description here","60649.0","VA","USA","14.2 sq mi","19851","0.89","0.05","BEmAtvnEQtsahzEGgQBW","Poor","85","80","95","57","85"
"260060","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","20.3 sq mi","27669","0.96","0.47","FBfJrtVpyONAdmWRjKwD","Good","72","56","70","42","91"
"260054","42.0","WOODLAWN","Description here","60616.0","IL","USA","3.3 sq mi","18487","0.63","0.28","hgEEglNDGhSYqxWQbULI","Average","67","89","53","22","30"
"260042","8.0","NEAR NORTH SIDE","Description here","60611.0","VA","USA","13.9 sq mi","11822","0.67","0.38","bUSatwuQsqofPycPqBBx","Good","59","58","69","15","75"
"260025","17.0","DUNNING","Description here","60634.0","TN","USA","25.9 sq mi","23869","0.67","0.26","HMqOpDhpMybKXMJhNbok","Average","55","61","72","82","40"
"260008","22.0","LOGAN SQUARE","Description here","60647.0","IL","USA","99.9 sq mi","18399","0.58","0.42","dKMWaMNlSgdxcNfFOSEV","Poor","84","60","69","24","45"
"256838","5.0","NORTH CENTER","Description here","60603.0","IL","USA","78.7 sq mi","42832","0.9","0.36","zREfFMsscZOajbNWWBvP","Poor","59","65","50","40","72"
"256834","28.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","38.3 sq mi","27055","0.75","0.09","kkuxikXmAKIrYAdTQwZF","Average","98","87","68","74","48"
"256815","22.0","LOGAN SQUARE","Description here","60647.0","IL","USA","98.5 sq mi","25095","0.58","0.44","zXCmLdrhUOEQuWGGqKLr","Average","79","59","97","80","90"
"256811","42.0","WOODLAWN","Description here","60637.0","IL","USA","16.5 sq mi","7382","0.61","0.3","EhBSGRLvwBAyPopMnQVD","Average","93","81","93","60","100"
"256810","48.0","CALUMET HEIGHTS","Description here","60617.0","IL","USA","52.0 sq mi","41005","0.74","0.43","VQqQHBMdWYcrdqllzXtS","Poor","70","94","57","25","76"
"256782","32.0","LOOP","Description here","60606.0","IL","USA","36.4 sq mi","31493","0.63","0.35","xquQViXqNzyRGLWyFdtU","Good","81","56","54","93","30"
"256780","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","96.9 sq mi","15578","0.83","0.31","BWYvCOtpDbDJRcuhwmNX","Good","66","78","55","5","56"
"256769","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","85.9 sq mi","14903","0.94","0.21","CtSMVJBPDqIsRezEhjqf","Good","75","78","55","80","36"
"256727","73.0","WASHINGTON HEIGHTS","Description here","60603.0","IL","USA","89.4 sq mi","15803","0.74","0.14","HUGVOydAjpQWsADSaSPI","Poor","96","51","79","94","60"
"256671","25.0","AUSTIN","Description here","60603.0","IL","USA","22.0 sq mi","29474","0.67","0.16","oAaSvBGHMXOEwbmFclWX","Good","92","92","94","39","20"
"256668","25.0","AUSTIN","Description here","60603.0","IL","USA","66.9 sq mi","16953","0.83","0.18","tHoJthEsmXaeQoVVjqfy","Average","67","60","75","46","58"
"256607","1.0","NEAR NORTH SIDE","Description here","60660.0","IL","USA","18.1 sq mi","36388","0.9","0.43","YlMAWcyzUuQSBmxIHLMk","Average","54","73","65","70","56"
"256570","28.0","NEAR WEST SIDE","Description here","60607.0","IL","USA","15.2 sq mi","28116","0.63","0.39","LPXyJtohHUgpYwhKhbTG","Average","81","63","95","73","66"
"256569","29.0","NEAR WEST SIDE","Description here","60612.0","IL","USA","78.7 sq mi","7344","0.59","0.45","pNBcqUbEYydfPMKwheYM","Poor","98","82","93","84","35"
"256563","1.0","ROGERS PARK","Description here","60626.0","IL","USA","2.4 sq mi","11690","0.7","0.34","dAHjfEXjAPpgLzpEdqJa","Good","83","60","72","67","7"
"256560","22.0","LOGAN SQUARE","Description here","60647.0","IL","USA","40.1 sq mi","8978","0.56","0.09","IcFnUjBNwVIjywIbvGoG","Average","86","99","79","26","5"
"256558","33.0","NEAR SOUTH SIDE","Description here","60605.0","IL","USA","89.8 sq mi","17813","0.69","0.43","fZNLzrJVwXonZRgKhRXa","Poor","77","85","60","85","11"
"256555","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","67.9 sq mi","40475","0.88","0.42","IldulsBPyoOAhaPKYCZY","Poor","78","97","97","36","27"
"256554","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","46.4 sq mi","19936","0.76","0.33","RgkjphXkHifOwirtQTPV","Average","61","56","61","20","45"
"256553","7.0","LINCOLN PARK","Description here","60614.0","VA","USA","8.9 sq mi","38178","0.59","0.05","qaYpZGzHtSXwXfzpMVeu","Poor","95","86","99","83","87"
"256547","6.0","OHARE","Description here","60631.0","MN","USA","46.0 sq mi","40262","0.57","0.47","ytPmUgebcxutaTfsRtyc","Good","63","100","85","34","88"
