"Street_ID","Street_Name","Description","LocationType","Zip","State","Country","Address","Latitude","Longitude","Location","Elevation","GeoPoint","Region","Population","LandUse","Accessibility","Amenities","SafetyIndex","EnvironmentalQuality","DevelopmentIndex","GeospatialData"
"1001","Central Park","A large public park in New York City.","Park","10024","NY","USA","59th St to 110th St","40.785091","-73.968285","(40.785091 -73.968285)","30","-73.968285,40.785091","Northeast","8405837","Residential","High","Restrooms, Bike Paths, Playgrounds","7.5","8.0","0.9","{""lat"": 40.785091, ""lon"": -73.968285}"
"1002","Crisman Center","Community center in Crisman, offering various public services and recreational activities.","Community Center","60633.0","VA","USA","100 Crisman Rd, Crisman, IN 46307","41.651405","-87.54583","(41.651405, -87.54583)","210","41.651405,-87.54583","Midwest","500660","Residential","Good","Park, Library, Sports Facility","75","9.0","0.8","Raster and vector data available for the area"
"1003","West Madison Street","Main street in Near West Side community","Urban","60612","IL","USA","1500 W Madison St, Chicago, IL 60612, USA","41.866867","-87.64145","(41.866867 -87.64145)","180","-87.64145 41.866867","Midwest","10000","Residential","High","Schools, parks, shopping centers","75","8.6","0.9","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-87.64145, 41.866867]}}"
"1004","N Hampden Court","Residential street with a mix of historical and modern buildings","Residential","60614","IL","USA","2728 N Hampden CT","41.910374","-87.630646","41.910374 -87.630646","180","-87.630646 41.910374","Midwest","30000","Residential","Good","Schools, Parks, Public Transit, Shops","75","8.5","0.8","{""type"": ""Feature"", ""geometry"": {""type"": ""Point"", ""coordinates"": [-87.630646, 41.910374]}}"
"1005","12302 S State St","Residential area","Residential","St","IL","USA","12302 S State St","41.670017","-87.623184","(41.670017, -87.623184)","180","POINT(-87.623184 41.670017)","Midwest","30000","Residential","Good","Parks, Schools","75","High","Developing","POINT(-87.623184 41.670017)"
"1006","5525 N WINTHROP AVE","Commercial district","Commercial","AVE","IL","USA","5525 N WINTHROP AVE","41.87118","-87.62812","(41.87118, -87.62812)","180","POINT(-87.62812 41.87118)","Northeast","30000","Commercial","Average","Shopping Centers, Restaurants","75","Moderate","Mature","POINT(-87.62812 41.87118)"
"1007","420 E Ohio St","Industrial zone","Industrial","St","IL","USA","420 E Ohio St","41.892857","-87.61664","(41.892857, -87.61664)","180","POINT(-87.61664 41.892857)","South","30000","Industrial","Poor","Hospitals, Banks","75","Low","Advanced","POINT(-87.61664 41.892857)"
"1008","922 W Washington Blvd","Mixed-use neighborhood","Mixed","Blvd","IL","USA","922 W Washington Blvd","41.883137","-87.65056","(41.883137, -87.65056)","180","POINT(-87.65056 41.883137)","West","30000","Recreational","Good","Gyms, Libraries","75","High","Developing","POINT(-87.65056 41.883137)"
"1009","6201 S Stewart Ave","Residential area","Residential","Ave","IL","USA","6201 S Stewart Ave","41.782055","-87.63427","(41.782055, -87.63427)","180","POINT(-87.63427 41.782055)","Midwest","30000","Residential","Average","Parks, Schools","75","Moderate","Mature","POINT(-87.63427 41.782055)"
"1010","9000 S Exchange Ave","Commercial district","Commercial","Ave","IL","USA","9000 S Exchange Ave","41.73179","-87.55268","(41.73179, -87.55268)","180","POINT(-87.55268 41.73179)","Northeast","30000","Commercial","Poor","Shopping Centers, Restaurants","75","Low","Advanced","POINT(-87.55268 41.73179)"
"1011","3400 W 65th Place","Industrial zone","Industrial","Place","IL","USA","3400 W 65th Place","41.77475","-87.70858","(41.77475, -87.70858)","180","POINT(-87.70858 41.77475)","South","30000","Industrial","Good","Hospitals, Banks","75","High","Developing","POINT(-87.70858 41.77475)"
"1012","17 E Monroe St","Mixed-use neighborhood","Mixed","St","IL","USA","17 E Monroe St","41.88032","-87.62695","(41.88032, -87.62695)","180","POINT(-87.62695 41.88032)","West","30000","Recreational","Average","Gyms, Libraries","75","Moderate","Mature","POINT(-87.62695 41.88032)"
"1013","4940  S EASTEND AVE","Residential area","Residential","AVE","IL","USA","4940  S EASTEND AVE","41.868633","-87.627304","(41.868633, -87.627304)","180","POINT(-87.627304 41.868633)","Midwest","30000","Residential","Poor","Parks, Schools","75","Low","Advanced","POINT(-87.627304 41.868633)"
"1014","118 N Clark St","Commercial district","Commercial","St","IL","USA","118 N Clark St","41.808865","-87.6267","(41.808865, -87.6267)","180","POINT(-87.6267 41.808865)","Northeast","30000","Commercial","Good","Shopping Centers, Restaurants","75","High","Developing","POINT(-87.6267 41.808865)"
"1015","10510 W Zemke Rd","Industrial zone","Industrial","Rd","IL","USA","10510 W Zemke Rd","41.970306","-87.65058","(41.970306, -87.65058)","180","POINT(-87.65058 41.970306)","South","30000","Industrial","Average","Hospitals, Banks","75","Moderate","Mature","POINT(-87.65058 41.970306)"
"1016","230 N Michigan Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","230 N Michigan Ave","41.886604","-87.62501","(41.886604, -87.62501)","180","POINT(-87.62501 41.886604)","West","30000","Recreational","Poor","Gyms, Libraries","75","Low","Advanced","POINT(-87.62501 41.886604)"
