"Service_ID","Community_ID","ServiceName","ServiceType","ProviderName","Address","Contact","OperatingHours","Capacity","Specialties","InsuranceAccepted","QualityRating","Accessibility","EmergencyServices","AverageWaitTime","PatientSatisfactionScore","Accreditation","Website"
"1004","7.0","JualrtvQAIsLFfXmcwWr","Education","QZjAfdlntVHjOiM","7363 bJVpWZloFJciUfA St.","+1-272-930-7998","Mon-Fri 9AM - 10PM, Sat 9AM - 10PM, Sun Closed","33","ddweJNUshhEznNloPDuFkYTbCYPKak","No","2","Poor","Yes","113 minutes","8","Not Accredited","http://fknnoaubvr.com"
"1005","59.0","TtWXLbyqRXDeEJwCXMPR","Healthcare","UwnXgtALPjOePGB","1223 NZasEMLpgOuZWab St.","+1-308-508-5462","Mon-Fri Closed, Sat 7AM - 7PM, Sun Closed","30","PDmRSYJdbHOJzuwLPiBGlrnzapCLtO","No","5","Poor","No","13 minutes","2","Accredited","http://ejjlkirz.com"
"1006","28.0","SHMDDFBdRnjmeweJRVyK","Education","eYtVgjqRAEdCehK","9591 eFKBSapDUnIbpXE St.","+1-706-626-1237","Mon-Fri Closed, Sat Closed, Sun 8AM - 7PM","62","iYvJJTWCdppbyuAmBamAtfQjiIskIO","No","5","Average","Yes","50 minutes","10","Accredited","http://oocopads.com"
"1007","32.0","duhOzYDBsgaYTUQKgZeI","Education","GSlUqftweQYFJGt","6444 DnJxPDMBtDPfDYz St.","+1-790-835-9508","Mon-Fri Closed, Sat Closed, Sun Closed","75","gKqGefraXLaKibXpVzhxgXeugTBqsq","No","5","Good","Yes","24 minutes","10","Not Accredited","http://nbvyz.com"
"1008","41.0","RTxNeMwpgkOXlSEFhJXz","Education","UiyCBfOGWKPUUbY","8140 zjjdsAyIbtHzbBq St.","+1-823-801-9162","Mon-Fri 7AM - 9PM, Sat 7AM - 9PM, Sun 7AM - 9PM","1","RcBhVZrWokzJPBmFGpHJJUTTkqMEWz","No","2","Good","Yes","109 minutes","7","Accredited","http://smpoan.com"
"1009","41.0","gwMCHKeCnOeGkdTOOFdQ","Recreation","BmwfJFSOktsiVjk","2735 VpGXpnBmUEiDXSD St.","+1-617-700-4282","Mon-Fri 6AM - 5PM, Sat Closed, Sun 6AM - 5PM","40","amqlhwmAfXxGJVPSAAemtECeMfyXcj","No","2","Poor","Yes","60 minutes","1","Accredited","http://wtsqoazj.com"
"1010","43.0","PescgEtGpEpnvLgpDYMD","Social","CFWXZZkXWlcmswO","9871 HfeCQAZFVXMXfoP St.","+1-854-723-8266","Mon-Fri 7AM - 9PM, Sat Closed, Sun 7AM - 9PM","8","gIwEIBafdICqMlvIxyLRFqfRYffRXR","Yes","3","Good","Yes","98 minutes","2","Not Accredited","http://ooyiousyiq.com"
"1011","71.0","QcHHxJQVrVDShYieOpYc","Education","riafodrfyqIjFFc","3457 ZRwfOZDnqXerjKA St.","+1-599-474-9916","Mon-Fri Closed, Sat 7AM - 8PM, Sun Closed","98","bKnSyjSSJyiopfkYJIRWpoGTZJSFUh","Yes","4","Poor","Yes","109 minutes","3","Accredited","http://euzcrsimhq.com"
"1012","3.0","aFJeYSGLkmoxJXZMMUdP","Recreation","TiEgPJYhHYDuCTH","5129 pyHRaNSFipExiUc St.","+1-542-270-1052","Mon-Fri 7AM - 10PM, Sat 7AM - 10PM, Sun 7AM - 10PM","16","GtoiEJRVFFVeiMZeivucLbjhYJzXJu","No","4","Average","Yes","65 minutes","9","Accredited","http://ytftuh.com"
"1013","43.0","icjwKOdlbgpafNTKEIuF","Recreation","mxJznTQMjwbGggz","4223 qRKfeZzXPpeNWYy St.","+1-789-602-5989","Mon-Fri 6AM - 9PM, Sat 6AM - 9PM, Sun Closed","99","iTHZslKPmZllicqwQbtlhVGTmkTzaz","No","3","Poor","No","37 minutes","8","Accredited","http://xrikq.com"
