Building_ID,Building_Address,Building_Type,Build_Year,Zip,State,City,Community_ID,Community_Name,Latitude,Longitude,Location,Energy_Rating,Property_Type,Floor_Area,Water_Use,Electricity_Use,Natural_Gas_Use,Total_GHG_Emissions,GHG_Intensity,Wards,Community_Area
"100068","555 W Roosevelt Rd","Commercial","2017-03-01","60607.0","IL","Cambridge","32.0","NEAR WEST SIDE","41.866867","-87.64145","(41.866867, -87.64145)","4.0","Other - Mall","173704","4325.4","4817089.3","788275.8","793.7","8.3","48","29"
"100256","4975 S Archer Ave","Municipal","1996-03-01","60632.0","KY","Moorland","57.0","ARCHER HEIGHTS","41.75392","-87.601974","(41.75392, -87.601974)","2.5","K-12 School","415577","2487.8","18855019.1","9819320.3","3464.2","8.3","8","54"
"100320","4039 4051 N LAPORTE AVE","Residential","1936-03-01","60641.0","OK","Snake Creek","15.0","PORTAGE PARK","41.94615","-87.74708","(41.94615, -87.74708)","4.0","Multifamily Housing","96000","2949","323935.3","6388787","393.2","4.1","21","15"
"100346","2609 W BELMONT AVE","Residential","1954-03-01","60618.0","IL","Crisman","21.0","AVONDALE","41.94672","-87.70319","(41.94672, -87.70319)","68","Multifamily Housing","87196","6638.5","1533291","3889053","490.1","5.6","20","16"
"100372","2701 W 68th St","Commercial","1957-03-01","60629.0","IL","Rockbridge","66.0","CHICAGO LAWN","41.770004","-87.69084","(41.770004, -87.69084)","4.0","Hospital (General Medical & Surgical)","409910","3400.1","5050093.6","130271002.2","7707.5","18.8","31","64"
"100393","7601 S Cicero Ave","Commercial","1907-03-01","60652.0","IL","Northgate","65.0","WEST LAWN","41.920395","-87.756165","(41.920395, -87.756165)","2.0","Enclosed Mall","1939923","2393.9","118556416.8","12388849.6","19161.1","22.2","30","63"
"100396","7740 S Western Ave","Commercial","1957-03-01","60620.0","IL","Leesburg","70.0","ASHBURN","41.75293","-87.68297","(41.75293, -87.68297)","4.0","K-12 School","435118","6753.1","4445020.1","13678699.9","1420.3","5.2","30","69"
"100397","3939 W 79th St","Municipal","1966-03-01","60652.0","IL","Northgate","35.0","DOUGLAS","41.74946","-87.720146","(41.74946, -87.720146)","4.0","K-12 School","184611","4964.8","2110928.7","8637329.7","788.2","4.3","30","69"
"100429","875 N Michigan Ave","Commercial","1957-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.898804","-87.62298","(41.898804, -87.62298)","2.5","Mixed Use Property","2620946","7389.5","142425511.3","2698630.5","22228.2","9.7","11","37"
"100433","2233 W Division St","Commercial","2017-03-01","60622.0","IL","Leesburg","5.0","WEST TOWN","41.902515","-87.68336","(41.902515, -87.68336)","3.5","Hospital (General Medical & Surgical)","981153","2572.0","65483978.2","97798072.1","15414.6","22.1","11","25"
"100447","211 E Chicago Ave","Commercial","1936-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.89645","-87.62257","(41.89645, -87.62257)","4.0","Office","404342","2417.8","12427310","14035978.5","2685","6.8","11","37"
"100448","198 E Delaware Pl","Residential","1914-03-01","60611.0","VA","Northgate","8.0","NEAR NORTH SIDE","41.883194","-87.628685","(41.883194, -87.628685)","4.0","Hotel","358850","2024.7","10715308","17942453.5","2625.3","8.3","11","37"
"100470","30 W Chicago","Residential","1900-03-01","60654.0","VA","Sale Creek","8.0","NEAR NORTH SIDE","41.87781","-87.65493","(41.87781, -87.65493)","2.5","Multifamily Housing","259349","834.1","7114992.6","24162555.1","2393.8","9.2","11","37"
"100533","6201 S Stewart Ave","Municipal","1954-03-01","60621.0","FL","Northchase","68.0","ENGLEWOOD","41.782055","-87.63427","(41.782055, -87.63427)","2.0","K-12 School","188800","8822.1","7213052","12271600.2","1777.5","9.4","4","66"
"100572","8131 S May St","Commercial","1957-03-01","60620.0","IL","Leesburg","71.0","AUBURN GRESHAM","41.74538","-87.65152","(41.74538, -87.65152)","2","K-12 School","300000","9352.9","6394582.7","20419239.1","2266.9","7.6","13","70"
"100637","510 534 W ADDISON ST","Residential","1900-03-01","60613.0","VA","Ebony","6.0","LAKE VIEW","41.89217","-87.63413","(41.89217, -87.63413)","1.0","Multifamily Housing","68667","3676","1664446.6","8970830.8","753.4","11","18","57"
"100674","3301 W Arthington St","Residential","2012-03-01","60624.0","OH","Northgate","29.0","NORTH LAWNDALE","41.870007","-87.70832","(41.870007, -87.70832)","26","Multifamily Housing","228897","6070.4","2564975","8642221","933.3","4.1","14","30"
"100729","801 S Canal St","Commercial","1900-03-01","60607.0","IL","Cambridge","28.0","NEAR WEST SIDE","42.01036","-87.6683","(42.01036, -87.6683)","100","Office","680000","9017.7","1719160.1","851580","313.5","0.5","26","29"
"100851","600 W Chicago","Commercial","1925-03-01","60654.0","VA","Sale Creek","8.0","NEAR NORTH SIDE","41.8965","-87.64288","(41.8965, -87.64288)","1.5","Office","2266502","4333.5","173736803.1","23432288.9","29598.9","13.8","46","37"
"100867","1653 W Congress Pkwy","Commercial","1996-03-01","60612.0","IL","Northchase","28.0","NEAR WEST SIDE","41.845505","-87.630554","(41.845505, -87.630554)","2.0","Hospital (General Medical & Surgical)","5863656","8899.4","456007414","325954996.6","102661","26.4","46","29"
"100946","6425 S Lowe","Residential","1907-03-01","60621.0","FL","Northchase","68.0","ENGLEWOOD","41.780464","-87.60531","(41.780464, -87.60531)","3.5","Multifamily Housing","379680","5936.2","5278967.5","16825191.1","1717.6","5.3","4","66"
"101013","7320 7332 N DAMEN AVE","Residential","1969-03-01","60645.0","IA","Mingo","30.0","ROGERS PARK","42.0088","-87.69503","(42.0088, -87.69503)","4.0","Multifamily Housing","55000","441","792645.1","3950407.9","341.7","6.2","27","20"
"101030","3750  S COTTAGE GROVE AVE","Residential","1957-03-01","60653.0","VA","Cambridge","36.0","OAKLAND","41.82021","-87.612465","(41.82021, -87.612465)","4.0","Multifamily Housing","76017","3154.1","1918910.8","3530270.9","506.7","6.7","10","4"
"101032","5110  S DR MARTIN LUTHER KING JR DR","Residential","1954-03-01","60615.0","VA","Crisman","40.0","WASHINGTON PARK","41.802242","-87.603325","(41.802242, -87.603325)","51","Multifamily Housing","114328","4233.6","1993130.7","10458749.1","922.9","8.1","33","8"
"101039","3250 W Adams St","Municipal","1970-03-01","60624.0","OH","Northgate","8.0","NEAR NORTH SIDE","41.879097","-87.707405","(41.879097, -87.707405)","4.0","K-12 School","366981","9427.8","5576535.3","16240537.7","1732.9","4.7","23","28"
"101043","2935 W Polk St","Municipal","1914-03-01","60612.0","IL","Northchase","27.0","EAST GARFIELD PARK","41.883114","-87.64488","(41.883114, -87.64488)","4.0","K-12 School","213820","2512.9","2801592.7","13167669.7","1136.6","5.3","23","28"
"101090","4554  S DREXEL BLVD","Residential","1900-03-01","60653.0","VA","Cambridge","39.0","KENWOOD","41.88696","-87.623055","(41.88696, -87.623055)","3.5","Multifamily Housing","89084","4110","1608887.7","7172679.6","648.6","7.3","10","4"
"101185","350 E Cermak","Commercial","1925-03-01","60616.0","IL","Big Foot Prairie","8.0","NEAR SOUTH SIDE","41.853687","-87.61836","(41.853687, -87.61836)","1.0","Data Center","1262150","7949.9","987573211","94103.7","173705.5","142.1","9","34"
"101199","4934 S Wabash Ave","Municipal","2017-03-01","60615.0","VA","Crisman","43.0","GRAND BOULEVARD","41.804024","-87.62487","(41.804024, -87.62487)","4.0","K-12 School","410375","5220.7","4913102.8","23747330.9","2028.1","4.9","9","4"
"101217","850  W EASTWOOD AVE","Residential","1921-03-01","60640.0","IL","Northchase","3.0","UPTOWN","41.97223","-87.6646","(41.97223, -87.6646)","29","Multifamily Housing","244164","7548.9","4562277","13514707","1561.4","6.4","18","31"
"101283","4058 W Melrose St","Commercial","1914-03-01","60641.0","OK","Snake Creek","16.0","IRVING PARK","41.680508","-87.66246","(41.680508, -87.66246)","3.0","Other - Specialty Hospital","119087","3773.9","8296520.6","16865894.3","2190.7","18.4","21","16"
"101356","3633 N California","Commercial","1957-03-01","60618.0","IL","Crisman","16.0","IRVING PARK","41.948093","-87.697426","(41.948093, -87.697426)","0.0","K-12 School","202400","796","4078880.3","11418334.2","41525.1","94.6","20","16"
"101420","3400 N Austin Ave","Municipal","1914-03-01","60634.0","TN","Sale Creek","17.0","DUNNING","41.810013","-87.64727","(41.810013, -87.64727)","3.0","K-12 School","250844","3678.7","5273824.9","14754889.8","1606.8","6.4","44","17"
"101471","701 709 W BROMPTON AVE","Residential","1900-03-01","60657.0","MN","Russell","6.0","LAKE VIEW","41.972084","-87.70235","(41.972084, -87.70235)","4.0","Multifamily Housing","53469","2336.4","1344130.1","1633802.5","310.4","5.8","25","57"
"101507","5148 N KEDZIE AVE","Commercial","1985-03-01","60625.0","IL","Goodland","13.0","NORTH PARK","41.97508","-87.7087","(41.97508, -87.7087)","3.0","College/University","113740","6730.0","3679826.6","10926997.2","1154.7","10.2","38","13"
"101519","7430  S ROCKWELL ST","Commercial","1925-03-01","60629.0","IL","Rockbridge","8.0","CHICAGO LAWN","41.77517","-87.7139","(41.77517, -87.7139)","2.0","Senior Care Community","77682","4587","2518298.3","4808399.9","674.4","8.7","6","63"
"101527","4041  W ROOSEVELT RD","Residential","2017-03-01","60624.0","OH","Northgate","41.0","NORTH LAWNDALE","41.880825","-87.72328","(41.880825, -87.72328)","4.0","Multifamily Housing","67988","7206.6","981318.5","3492299","338.6","5","23","27"
"101537","4532 4542 S DREXEL BLVD","Residential","1996-03-01","60653.0","VA","Cambridge","39.0","KENWOOD","41.72019","-87.656715","(41.72019, -87.656715)","30","Multifamily Housing","62469","9629.4","2492159","1587017","545.1","8.7","10","4"
"101545","849 863 W BUENA AVE","Residential","1957-03-01","60613.0","VA","Ebony","3.0","UPTOWN","41.95402","-87.662025","(41.95402, -87.662025)","40","Multifamily Housing","61056","3570.0","603204.1","3526900","298.5","4.9","18","57"
"101547","2525 S Michigan Ave","Commercial","1936-03-01","60616.0","IL","Big Foot Prairie","33.0","NEAR SOUTH SIDE","41.84675","-87.62134","(41.84675, -87.62134)","6","Hospital (General Medical & Surgical)","750000","7400.8","75236443","91845498","18789.2","25.1","10","34"
"101551","301 Cermak Rd","Commercial","1921-03-01","60616.0","IL","Big Foot Prairie","34.0","ARMOUR SQUARE","41.85284","-87.63493","(41.85284, -87.63493)","3.0","Convention Center","9245333","4967.0","374952024.6","346725881.9","76934.8","8.3","26","35"
"101557","2 E 8th St","Residential","1970-03-01","60605.0","IL","Leesburg","7.0","LINCOLN PARK","41.871826","-87.627235","(41.871826, -87.627235)","1.0","Multifamily Housing","340887","2020.5","10027810.5","22437698.5","2756.8","10.4","10","38"
"101559","77 W Jackson","Commercial","1969-03-01","60604.0","NC","Northchase","6.0","LOOP","41.877556","-87.63042","(41.877556, -87.63042)","4.0","Office","868473","7408.3","31159545","7758022.5","4863","5.9","10","38"
"101560","536 S Clark St","Commercial","1936-03-01","60605.0","IL","Leesburg","32.0","LOOP","41.875008","-87.631226","(41.875008, -87.631226)","3.0","Office","636217","2490.0","29743740.4","37313760.5","6624","10.4","10","38"
"101567","53 W Jackson Blvd","Commercial","1966-03-01","60604.0","NC","Northchase","8.0","NEAR NORTH SIDE","41.877525","-87.629555","(41.877525, -87.629555)","4.0","Office","496749","5578.6","5455092.3","11754606.5","1475.7","3","10","38"
"101592","5452 5466 S ELLIS AVE","Residential","1936-03-01","60615.0","VA","Crisman","41.0","HYDE PARK","41.802242","-87.603325","(41.802242, -87.603325)","92","Multifamily Housing","51368","7919.7","264928","2944825","205.4","4","33","8"
"101657","1329 1337 W TOUHY AVE","Residential","1949-03-01","60626.0","IL","Rockbridge","1.0","ROGERS PARK","41.92385","-87.63654","(41.92385, -87.63654)","18","Multifamily Housing","56894","5119.0","276229","3588743","241.7","4.2","5","10"
"101674","8700 W Bryn Mawr Ave","Commercial","2017-03-01","60631.0","MN","Russell","1.0","OHARE","41.98172","-87.84446","(41.98172, -87.84446)","4.0","Office","953318","345.7","21218670.6","221460.1","3323.3","7.5","29","75"
"101679","8600 W Bryn Mawr Ave","Commercial","1970-03-01","60631.0","MN","Russell","8.0","NEAR NORTH SIDE","41.982925","-87.84222","(41.982925, -87.84222)","4.0","Office","729676","6283.7","23423209","224953.4","3667.6","8.8","29","75"
"101682","8750 W Bryn Mawr Ave","Commercial","2014-03-01","60631.0","MN","Russell","76.0","OHARE","41.87963","-87.640396","(41.87963, -87.640396)","4.0","Office","1286867","458.7","32945463.8","89725.7","5146.5","6.7","29","75"
