ID,Community_ID,S_Name,S_Type,P_Name,S_Address,Contact,Office_Hour,Capacity,Specialties,Insurance_Type,Is_Emergency,Wait_Time,Patient_Rating,Qualification,Website
"2608","32.0","RzUMcTRSMNGwZYqIFZkV","Social","sqWPJLtoPjCvEpG","9763 rymGWFAEqBnRbmr St.","+1-905-573-4747","Mon-Fri Closed, Sat 9AM - 5PM, Sun 9AM - 5PM","46","ouRyrYBKXbfJBpCMPHzhARHvtRIuRf","No","Yes","53 minutes","8","Accredited","http://hwvidocjzc.com"
"2607","57.0","wYQDNQMKwhgZczcqPefa","Healthcare","KVbfwDgKCZxFBtD","5028 DWRsZoyUNprdILW St.","+1-763-957-7972","Mon-Fri Closed, Sat 7AM - 9PM, Sun Closed","66","sDnmutZibQnNCGwDoGwhgFWKVEvPiN","Yes","No","79 minutes","9","Accredited","http://qpdvctz.com"
"2606","15.0","BqosfrkpWVWxROFXseWc","Social","IUvuVuTeKWdAfbV","5722 dfRbMCIFUfacwth St.","+1-231-281-7978","Mon-Fri 9AM - 6PM, Sat 9AM - 6PM, Sun Closed","94","TrVNoxurDDREHaGLSCjPHFuKIeSqDc","Yes","Yes","92 minutes","10","Accredited","http://hcjnw.com"
"2605","21.0","mibzJgUdFwcHJSuUKJUE","Education","dgAnIvPCDQtkgQO","6238 uVuwCwcnkZJriih St.","+1-757-221-2440","Mon-Fri 6AM - 7PM, Sat 6AM - 7PM, Sun Closed","15","twdFKSAuHRDGacWhHmUaNhMOzYuOKG","No","Yes","27 minutes","5","Accredited","http://rnablolpi.com"
"2604","66.0","XlMKKsHSRowYWwiibiwE","Healthcare","ppudYwfcSaIFgiN","3723 hmDloyVJcQuWbKV St.","+1-234-227-3303","Mon-Fri Closed, Sat Closed, Sun 7AM - 6PM","29","cQLlLRSEJiCFKkGlpfAZCIwHkSHEld","No","No","81 minutes","10","Not Accredited","http://mbmotcwdk.com"
"2603","65.0","gMmfnyEHjFlMeBmlKpwg","Recreation","lLKzeYeaELDSdNO","8388 sJRVoAdZmsBsnmr St.","+1-724-575-3385","Mon-Fri Closed, Sat 9AM - 9PM, Sun 9AM - 9PM","49","pSrpXEbCxkgMtsykAWIRRiOZsswzsD","Yes","No","12 minutes","2","Not Accredited","http://likbmsst.com"
"2602","70.0","BlDyITkzLYuKRHxrCtbj","Recreation","TgisJuYqNYAoMrE","5008 CRmzgkUkHcxyBut St.","+1-265-559-2242","Mon-Fri Closed, Sat 7AM - 5PM, Sun 7AM - 5PM","24","ZcdyuuGAkyHYuhXVCvlpobDphnZnjh","No","No","105 minutes","7","Not Accredited","http://wihnjtzqjw.com"
"2601","35.0","bMDBPINryHLwJwKigrvS","Education","oIjgsyaAPwTblDv","251 VrwLnffyZCaxUHb St.","+1-568-483-9743","Mon-Fri 9AM - 8PM, Sat 9AM - 8PM, Sun Closed","85","eCBgOBcaFsIOwZQlZaECzRGWvUhbRX","Yes","No","24 minutes","8","Accredited","http://uhjqloznh.com"
"2600","8.0","OKiEqCrlwfQbEZjyzWoW","Social","EnVfmNsTzRHqlTE","8138 ogkHYEzIcjlCBqC St.","+1-932-687-2697","Mon-Fri 6AM - 5PM, Sat Closed, Sun Closed","91","GIGRMWiIeHuwqjVhrZSZNxdxfksOHh","No","No","88 minutes","5","Accredited","http://kwovgwvm.com"
"2599","5.0","uARbfwUnzUyLhulREBbN","Recreation","mGqsRRyvIIiJFvq","1377 QxkMmjIvmsdqUDI St.","+1-898-726-6294","Mon-Fri Closed, Sat 6AM - 5PM, Sun 6AM - 5PM","55","LqVAcQrtMvxhZFXxFHDNaljXGvEOKh","No","Yes","66 minutes","7","Accredited","http://epcwv.com"
