L_ID,L_Name,Description,L_Type,Zip,State,Country,L_Address,Latitude,Longitude,Location,Elevation,Region,Population,Safe_Index,Environment_Index,Development_Index,Geo_Data
"","","","","","","","","","","","","","","","","",""
"1309","200  N CENTRAL AVE","Residential area","Residential","AVE","IL","USA","200  N CENTRAL AVE","41.75392","-87.601974","(41.75392, -87.601974)","180","Midwest","30000","75","Moderate","Mature","POINT(-87.601974 41.75392)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1419","2701 W 68th St","Industrial zone","Industrial","St","IL","USA","2701 W 68th St","41.770004","-87.69084","(41.770004, -87.69084)","180","South","30000","75","High","Developing","POINT(-87.69084 41.770004)"
"1490","6045  W GRAND AVE","Commercial district","Commercial","AVE","IL","USA","6045  W GRAND AVE","41.920395","-87.756165","(41.920395, -87.756165)","180","Northeast","30000","75","Low","Advanced","POINT(-87.756165 41.920395)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1267","875 N Michigan Ave","Industrial zone","Industrial","Ave","IL","USA","875 N Michigan Ave","41.898804","-87.62298","(41.898804, -87.62298)","180","South","30000","75","Moderate","Mature","POINT(-87.62298 41.898804)"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"1428","2510 S Kildare Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","2510 S Kildare Ave","41.883194","-87.628685","(41.883194, -87.628685)","180","West","30000","75","High","Developing","POINT(-87.628685 41.883194)"
"1476","2 N Riverside Plz","Mixed-use neighborhood","Mixed","Plz","IL","USA","2 N Riverside Plz","41.87781","-87.65493","(41.87781, -87.65493)","180","West","30000","75","High","Developing","POINT(-87.65493 41.87781)"
"1238","6201 S Stewart Ave","Commercial district","Commercial","Ave","IL","USA","6201 S Stewart Ave","41.782055","-87.63427","(41.782055, -87.63427)","180","Northeast","30000","75","Low","Advanced","POINT(-87.63427 41.782055)"
"","","","","","","","","","","","","","","","","",""
"1480","4945 S Cottage Grove Ave","Mixed-use neighborhood","Mixed","Ave","IL","USA","4945 S Cottage Grove Ave","41.89217","-87.63413","(41.89217, -87.63413)","180","West","30000","75","Moderate","Mature","POINT(-87.63413 41.89217)"
"","","","","","","","","","","","","","","","","",""
"1436","1029 1051 W NORTH SHORE AVE","Mixed-use neighborhood","Mixed","AVE","IL","USA","1029 1051 W NORTH SHORE AVE","42.01036","-87.6683","(42.01036, -87.6683)","180","West","30000","75","Low","Advanced","POINT(-87.6683 42.01036)"
"1259","600 W Chicago","Industrial zone","Industrial","Chicago","IL","USA","600 W Chicago","41.8965","-87.64288","(41.8965, -87.64288)","180","South","30000","75","Low","Advanced","POINT(-87.64288 41.8965)"
